Nose_x0,Nose_y0,Neck_x1,Neck_y1,RShoulder_x2,RShoulder_y2,Relbow_x3,RElbow_y3,RWrist_x4,RWrist_y4,LShoulder_x5,LShoulder_y5,LElbow_x6,LElbow_y6,LWrist_x7,LWrist_y7,RHip_x8,RHip_y8,RKnee_x9,RKnee_y9,RAnkle_x10,RAnkle_y10,LHip_x11,LHip_y11,LKnee_x12,LKnee_y12,LAnkle_x13,LAnkle_y13,REye_x14,REye_y14,LEye_x15,LEye_y15,REar_x16,REar_y16,LEar_x17,LEar_y17
1,0,2,0,1,1,3,0,4,1,2,1,2,0,3,1,1,0,0,1,0,0,3,1,1,1,6,1,2,0,2,0,1,0,0,0
3,1,2,1,3,1,4,1,2,0,1,0,3,1,76,58,6,3,12,0,21,2,2,3,11,3,17,2,2,1,2,1,2,1,0,0
1,1,2,1,2,0,1,0,2,0,3,1,1,1,81,58,1,0,3,0,3,1,4,0,4,1,0,0,1,1,2,1,2,1,0,0
2,0,2,0,2,0,2,2,1,1,0,1,1,2,81,58,5,1,3,2,2,1,0,0,3,0,0,1,2,0,2,0,2,0,0,0
2,0,2,0,2,0,1,0,2,1,3,1,2,1,0,0,0,1,2,1,26,1,4,0,10,1,26,1,2,1,2,1,3,0,0,0
1,0,2,0,2,0,2,1,0,2,3,0,76,55,0,0,3,1,2,1,3,3,2,1,2,1,0,1,2,0,1,1,1,0,0,0
3,0,2,0,0,0,0,0,1,2,3,1,0,0,0,0,2,1,7,0,23,4,3,1,2,1,19,5,3,1,3,0,2,0,0,0
2,1,2,1,3,0,2,0,3,2,2,1,0,0,0,0,0,0,2,1,1,0,3,1,5,1,18,5,1,0,1,1,2,1,0,0
1,1,2,0,1,1,2,1,3,0,2,1,0,0,0,0,2,2,1,1,5,4,2,2,1,1,2,2,2,1,2,0,1,0,0,0
3,0,2,0,2,0,1,1,1,1,1,0,0,0,0,0,2,1,3,0,3,0,1,1,2,0,0,1,2,1,2,1,2,0,0,0
1,0,1,0,3,1,2,1,1,2,1,0,0,0,0,0,1,1,1,2,1,1,3,1,3,2,2,0,2,0,2,0,2,0,0,0
2,1,2,0,2,0,3,1,3,1,1,0,0,0,0,0,4,1,5,1,4,2,1,2,4,2,1,3,2,1,2,1,2,0,0,0
2,0,2,0,2,0,2,0,1,1,1,0,90,56,97,62,2,1,2,1,5,1,1,1,1,2,2,0,2,0,2,0,3,0,0,0
2,0,1,1,1,0,4,0,15,4,2,1,1,0,3,1,2,1,3,1,8,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0
2,1,2,0,3,0,3,1,4,2,1,1,1,0,16,6,1,1,1,1,4,0,0,1,2,0,0,1,2,2,2,0,2,1,0,0
2,0,2,0,2,0,3,0,2,0,3,0,5,0,20,8,2,3,0,2,4,0,2,2,1,0,0,0,3,0,3,1,2,0,0,0
2,0,2,1,2,1,2,1,3,0,1,0,0,1,17,10,3,1,3,2,2,1,2,2,1,2,1,0,1,1,1,1,2,1,0,0
3,0,3,0,3,1,4,0,2,0,2,1,5,0,21,10,2,0,2,1,0,1,2,0,2,0,1,0,3,0,3,0,3,0,0,0
2,1,1,0,1,0,2,1,2,1,3,0,0,1,16,11,3,1,1,2,1,0,3,1,4,1,2,1,2,0,102,38,1,1,0,0
1,0,2,0,2,0,3,0,1,1,1,0,2,1,5,0,1,1,3,1,1,1,4,1,5,1,3,2,2,0,0,0,3,1,0,0
2,0,3,0,1,0,1,1,12,7,99,46,100,59,97,70,2,1,1,1,0,0,4,1,5,0,3,2,2,0,108,38,1,0,0,0
1,0,1,1,1,1,1,1,4,1,105,45,0,0,0,0,0,1,1,1,0,0,3,1,3,0,2,0,1,0,0,0,2,1,0,0
